id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,models+AF8-ensemble+AF8-count
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,1,multiclass,0.93013,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-24T22:20:59,1816,1802.1,2.2,3,1675287727,,0.93013,0.871378,0.215437,
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,2,multiclass,0.93001,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-24T22:51:24,1825.2,1808.4,2.2,4,1675287728,,0.93001,0.877281,0.214867,
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,3,multiclass,0.92879,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-24T23:21:47,1822.6,1807.1,2.2,4,1675287729,,0.92879,0.875921,0.236352,
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,4,multiclass,0.93025,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-24T23:52:05,1817.7,1802.9,2.2,4,1675287730,,0.93025,0.879556,0.207473,
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,5,multiclass,0.88847,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-25T00:22:21,1815.4,1801.5,2.6,6,1675287731,,0.88847,0.682789,0.392062,
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,6,multiclass,0.93048,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-25T00:52:38,1816.4,1803.3,2.2,7,1675287732,,0.93048,0.875843,0.198193,
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,7,multiclass,0.92969,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-25T01:22:53,1815.3,1802.5,2.2,4,1675287733,,0.92969,0.878705,0.207694,
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,8,multiclass,0.93132,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-25T01:53:22,1828.5,1805.3,2.2,4,1675287734,,0.93132,0.876551,0.209995,
openml.org/t/2140,BNG+AF8-lymph+AF8-,H2OAutoML,test,9,multiclass,0.93109,acc,local,3.44.0.2,,2.1.4,2024+AC0-01+AC0-25T02:23:41,1818.6,1805.4,2.2,4,1675287735,,0.93109,0.876863,0.206363,
openml.org/t/2140,BNG+AF8-lymph+AF8-,NaiveAutoML,test,0,multiclass,0.90237,acc,local,0.0.27,,2.1.4,2024+AC0-01+AC0-24T22:29:47,1820.9,1811.5,0.9,1,1616897613,,0.90237,0.82041,2.74229,
openml.org/t/2140,BNG+AF8-lymph+AF8-,NaiveAutoML,test,1,multiclass,0.90246,acc,local,0.0.27,,2.1.4,2024+AC0-01+AC0-24T23:00:06,1817.8,1811.8,0.9,1,1616897614,,0.90246,0.82176,2.71477,
