id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,auc
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,2,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T05:49:16,2893.4,2885.8,0.0003,9582,1688115827,,1,1,2.22045E+AC0-16,1
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,3,binary,0.818182,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T06:38:07,2930.7,2923.9,0.0009,2793,1688115828,,0.818182,0.833333,0.411994,0.866667
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,4,binary,0.545455,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T07:26:27,2899.3,2892.2,0.02,5050,1688115829,,0.545455,0.566667,1.03211,0.583333
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,5,binary,0.545455,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T08:14:38,2891.1,2884.2,0.0007,4085,1688115830,,0.545455,0.55,3.88842,0.616667
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,6,binary,0.454545,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T08:50:08,2129.7,2122.1,0.0007,9196,1688115831,,0.454545,0.433333,13.5267,0.516667
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,7,binary,0.454545,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T09:38:28,2899.6,2892.3,0.009,6652,1688115832,,0.454545,0.466667,7.84175,0.35
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,8,binary,0.636364,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T10:05:41,1632.7,1625,0.003,9634,1688115833,,0.636364,0.633333,3.73947,0.716667
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,9,binary,0.818182,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T10:30:44,1503,1495.4,0.0007,9694,1688115834,,0.818182,0.816667,6.55339,0.816667
openml.org/t/3585,veteran,TPOT,test,0,binary,0.785714,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T11:18:55,2890.4,2883,0.009,6784,1688115825,,0.785714,0.625,0.479119,0.775
openml.org/t/3585,veteran,TPOT,test,1,binary,0.642857,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T12:07:03,2888.1,2880.7,0.009,7400,1688115826,,0.642857,0.6,0.633169,0.675
openml.org/t/3585,veteran,TPOT,test,2,binary,0.714286,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T12:55:19,2895.7,2888.3,0.002,7540,1688115827,,0.714286,0.725,0.567776,0.675
openml.org/t/3585,veteran,TPOT,test,3,binary,0.785714,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T13:43:31,2892.2,2884.8,0.0008,8353,1688115828,,0.785714,0.7,0.45198,0.85
openml.org/t/3585,veteran,TPOT,test,4,binary,0.642857,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T14:31:43,2891.1,2884,0.009,5742,1688115829,,0.642857,0.5,0.574205,0.777778
openml.org/t/3585,veteran,TPOT,test,5,binary,0.785714,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T15:19:53,2889.8,2882.5,0.0008,6777,1688115830,,0.785714,0.7,0.802175,0.6
openml.org/t/3585,veteran,TPOT,test,6,binary,0.928571,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T16:08:08,2895.2,2887.8,0.001,8195,1688115831,,0.928571,0.9,0.461657,0.844444
openml.org/t/3585,veteran,TPOT,test,7,binary,0.846154,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T16:56:17,2888.4,2881.1,0.0009,7503,1688115832,,0.846154,0.75,0.550865,0.666667
openml.org/t/3585,veteran,TPOT,test,8,binary,0.615385,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T17:44:25,2888,2880.6,0.002,8002,1688115833,,0.615385,0.583333,1.56818,0.694444
openml.org/t/3585,veteran,TPOT,test,9,binary,0.461538,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T18:32:34,2889,2881.8,0.001,7096,1688115834,,0.461538,0.402778,1.01021,0.527778
openml.org/t/3857,vehicle,TPOT,test,0,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T19:20:46,2891,2884,0.001,4847,1688115825,,1,1,0.00946853,1
openml.org/t/3857,vehicle,TPOT,test,1,binary,0.988235,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T20:09:00,2894.3,2887.3,0.001,4834,1688115826,,0.988235,0.977273,0.112815,0.998557
openml.org/t/3857,vehicle,TPOT,test,2,binary,0.988235,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T20:57:10,2889.5,2882.5,0.002,4360,1688115827,,0.988235,0.992063,0.0467421,0.999278
openml.org/t/3857,vehicle,TPOT,test,3,binary,0.988235,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T21:45:21,2890.7,2883.7,0.009,4684,1688115828,,0.988235,0.992063,0.0677052,0.999278
openml.org/t/3857,vehicle,TPOT,test,4,binary,0.988235,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T22:33:31,2890.3,2883.4,0.001,3729,1688115829,,0.988235,0.977273,0.124381,0.999278
openml.org/t/3857,vehicle,TPOT,test,5,binary,0.988235,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-18T23:21:46,2894.3,2887.3,0.001,4403,1688115830,,0.988235,0.977273,0.0188179,1
openml.org/t/3857,vehicle,TPOT,test,6,binary,1,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T00:09:56,2890.2,2883.2,0.001,4365,1688115831,,1,1,0.0031954,1
openml.org/t/3857,vehicle,TPOT,test,7,binary,0.988095,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T00:58:05,2888.3,2881.5,0.0009,3413,1688115832,,0.988095,0.992063,0.121035,1
openml.org/t/3857,vehicle,TPOT,test,8,binary,0.97619,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T01:46:15,2889.6,2882.5,0.002,5133,1688115833,,0.97619,0.954545,0.220473,0.996334
openml.org/t/3857,vehicle,TPOT,test,9,binary,0.988095,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T02:34:24,2888.7,2881.7,0.001,4886,1688115834,,0.988095,0.977273,0.0267798,1
openml.org/t/9969,thoracic+AC0-surgery,TPOT,test,0,binary,0.851064,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T03:22:32,2888,2880.5,0.002,8322,1688115825,,0.851064,0.5,0.413403,0.621429
openml.org/t/9969,thoracic+AC0-surgery,TPOT,test,1,binary,0.829787,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T04:00:15,2263,2255.3,0.007,9591,1688115826,,0.829787,0.4875,0.496069,0.407143
openml.org/t/9969,thoracic+AC0-surgery,TPOT,test,2,binary,0.808511,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T04:48:25,2889.5,2882.5,0.009,4749,1688115827,,0.808511,0.533929,0.549858,0.642857
openml.org/t/9969,thoracic+AC0-surgery,TPOT,test,3,binary,0.851064,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T05:36:33,2888,2880.7,0.001,7391,1688115828,,0.851064,0.5,0.409041,0.610714
openml.org/t/9969,thoracic+AC0-surgery,TPOT,test,4,binary,0.829787,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T06:24:48,2894,2886.4,0.01,8884,1688115829,,0.829787,0.4875,0.371269,0.746429
openml.org/t/9969,thoracic+AC0-surgery,TPOT,test,5,binary,0.851064,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T07:06:39,2510.7,2503,0.005,9734,1688115830,,0.851064,0.5,0.434956,0.591071
openml.org/t/9969,thoracic+AC0-surgery,TPOT,test,6,binary,0.829787,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T07:54:53,2894.5,2887.1,0.009,7232,1688115831,,0.829787,0.4875,0.467163,0.6375
openml.org/t/9969,thoracic+AC0-surgery,TPOT,test,7,binary,0.851064,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T08:33:05,2291.3,2283.6,0.002,9769,1688115832,,0.851064,0.5,1.84083,0.575
openml.org/t/9969,thoracic+AC0-surgery,TPOT,test,8,binary,0.829787,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T09:15:17,2531.6,2523.8,0.002,9821,1688115833,,0.829787,0.4875,1.22964,0.346429
openml.org/t/9969,thoracic+AC0-surgery,TPOT,test,9,binary,0.851064,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T10:03:27,2889.6,2882.4,0.01,5817,1688115834,,0.851064,0.558929,0.42086,0.703571
openml.org/t/3874,ecoli,TPOT,test,0,binary,0.911765,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T10:51:36,2889,2881.7,0.002,6568,1688115825,,0.911765,0.914286,0.238253,0.967857
openml.org/t/3874,ecoli,TPOT,test,1,binary,0.970588,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T11:39:44,2887.9,2880.7,0.009,5518,1688115826,,0.970588,0.975,0.219153,0.996429
openml.org/t/3874,ecoli,TPOT,test,2,binary,0.970588,acc,local,0.12.1,,2.1.4,2024+AC0-08+AC0-19T12:27:54,2890.3,2882.7,0.004,9220,1688115827,,0.970588,0.975,0.0680885,0.996429
