id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,models_ensemble_count,auc
openml.org/t/3602,visualizing_environmental,AutoGluon,test,9,binary,0.818182,acc,local,1.0.0,,2.1.4,2024-08-06T20:17:24,25.9,22.1,0.02,14,476602194,,0.818182,0.816667,0.688473,2,0.7
openml.org/t/3585,veteran,AutoGluon,test,0,binary,0.642857,acc,local,1.0.0,,2.1.4,2024-08-06T20:17:56,32.2,28.3,0.05,14,476602185,,0.642857,0.45,0.709025,2,0.7
openml.org/t/3585,veteran,AutoGluon,test,1,binary,0.714286,acc,local,1.0.0,,2.1.4,2024-08-06T20:18:26,30,26.2,0.04,14,476602186,,0.714286,0.65,0.627412,2,0.6375
openml.org/t/3585,veteran,AutoGluon,test,2,binary,0.714286,acc,local,1.0.0,,2.1.4,2024-08-06T20:18:57,30.5,26.7,0.03,14,476602187,,0.714286,0.575,0.495828,2,0.8
openml.org/t/3585,veteran,AutoGluon,test,3,binary,0.5,acc,local,1.0.0,,2.1.4,2024-08-06T20:19:28,30.4,26.5,0.03,14,476602188,,0.5,0.5,0.669805,2,0.625
openml.org/t/3585,veteran,AutoGluon,test,4,binary,0.642857,acc,local,1.0.0,,2.1.4,2024-08-06T20:19:59,31.2,27.4,0.02,14,476602189,,0.642857,0.5,0.695514,2,0.511111
openml.org/t/3585,veteran,AutoGluon,test,5,binary,0.642857,acc,local,1.0.0,,2.1.4,2024-08-06T20:20:31,31.6,27.6,0.02,14,476602190,,0.642857,0.544444,1.43579,2,0.488889
openml.org/t/3585,veteran,AutoGluon,test,6,binary,0.857143,acc,local,1.0.0,,2.1.4,2024-08-06T20:21:06,34,30.2,0.02,14,476602191,,0.857143,0.8,0.676213,2,0.822222
openml.org/t/3585,veteran,AutoGluon,test,7,binary,0.769231,acc,local,1.0.0,,2.1.4,2024-08-06T20:21:38,32.1,28.2,0.01,14,476602192,,0.769231,0.625,0.460729,2,0.805556
openml.org/t/3585,veteran,AutoGluon,test,8,binary,0.769231,acc,local,1.0.0,,2.1.4,2024-08-06T20:22:06,27.4,23.4,0.2,14,476602193,,0.769231,0.694444,0.55106,2,0.666667
openml.org/t/3585,veteran,AutoGluon,test,9,binary,0.769231,acc,local,1.0.0,,2.1.4,2024-08-06T20:22:35,29.3,25.4,0.04,14,476602194,,0.769231,0.763889,0.65954,2,0.666667
openml.org/t/3857,vehicle,AutoGluon,test,0,binary,0.988235,acc,local,1.0.0,,2.1.4,2024-08-06T20:23:12,36.2,32.3,0.03,14,476602185,,0.988235,0.992063,0.0623073,2,0.997835
openml.org/t/3857,vehicle,AutoGluon,test,1,binary,0.976471,acc,local,1.0.0,,2.1.4,2024-08-06T20:23:50,37.1,33.2,0.03,14,476602186,,0.976471,0.969336,0.0322398,2,0.999278
openml.org/t/3857,vehicle,AutoGluon,test,2,binary,0.976471,acc,local,1.0.0,,2.1.4,2024-08-06T20:24:27,36.8,32.9,0.02,14,476602187,,0.976471,0.969336,0.0769212,2,0.993506
openml.org/t/3857,vehicle,AutoGluon,test,3,binary,0.988235,acc,local,1.0.0,,2.1.4,2024-08-06T20:25:10,43,39.1,0.008,14,476602188,,0.988235,0.992063,0.0234555,2,0.999278
openml.org/t/3857,vehicle,AutoGluon,test,4,binary,0.976471,acc,local,1.0.0,,2.1.4,2024-08-06T20:25:45,35,30.8,0.1,14,476602189,,0.976471,0.954545,0.072158,3,0.999278
openml.org/t/3857,vehicle,AutoGluon,test,5,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:26:23,37.3,32.3,0.3,14,476602190,,1,1,0.051668,6,1
openml.org/t/3857,vehicle,AutoGluon,test,6,binary,0.97619,acc,local,1.0.0,,2.1.4,2024-08-06T20:27:06,42.2,38.3,0.03,14,476602191,,0.97619,0.952381,0.0508251,2,0.998488
openml.org/t/3857,vehicle,AutoGluon,test,7,binary,0.988095,acc,local,1.0.0,,2.1.4,2024-08-06T20:27:42,36.1,32.1,0.1,14,476602192,,0.988095,0.992063,0.102505,2,1
openml.org/t/3857,vehicle,AutoGluon,test,8,binary,0.952381,acc,local,1.0.0,,2.1.4,2024-08-06T20:28:22,40.1,36.1,0.2,14,476602193,,0.952381,0.923754,0.142952,2,0.993035
openml.org/t/3857,vehicle,AutoGluon,test,9,binary,0.988095,acc,local,1.0.0,,2.1.4,2024-08-06T20:29:00,37.8,33.9,0.08,14,476602194,,0.988095,0.977273,0.0306915,2,1
openml.org/t/9969,thoracic-surgery,AutoGluon,test,0,binary,0.851064,acc,local,1.0.0,,2.1.4,2024-08-06T20:29:30,29.4,25.5,0.03,14,476602185,,0.851064,0.5,0.428617,2,0.510714
openml.org/t/9969,thoracic-surgery,AutoGluon,test,1,binary,0.829787,acc,local,1.0.0,,2.1.4,2024-08-06T20:30:06,35.1,31.1,0.04,14,476602186,,0.829787,0.4875,0.493261,2,0.528571
