idBase,_acc,tempo_treino,tempo_teste
980,0.9893238434163701,0.7667298316955566,0.017917156219482422
980,0.9928825622775801,0.5941164493560791,0.015624523162841797
980,0.9839857651245552,0.8060622215270996,0.018889665603637695
980,0.9804270462633452,0.76908278465271,0.018373489379882812
980,0.9839857651245552,0.7953171730041504,0.006561279296875
980,0.9928825622775801,0.6730105876922607,0.052358150482177734
980,0.9857651245551602,0.8979027271270752,0.037378549575805664
980,0.9839857651245552,0.9437401294708252,0.02652597427368164
980,0.99644128113879,0.7591230869293213,0.021968364715576172
980,0.99644128113879,0.854600191116333,0.02179431915283203
