idBase,_acc,tempo_treino,tempo_teste
748,0.7058823529411765,0.0,0.008793830871582031
748,0.8823529411764706,0.0,0.00463104248046875
748,0.7647058823529411,0.0029795169830322266,0.0016818046569824219
748,0.6875,0.0030031204223632812,0.0010008811950683594
748,0.75,0.0037202835083007812,0.0
748,0.6875,0.0,0.009039878845214844
748,0.8125,0.00421142578125,0.0009400844573974609
748,0.875,0.0021033287048339844,0.0
748,0.9375,0.009826898574829102,0.0025556087493896484
748,0.6875,0.003923177719116211,0.002031087875366211
