id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,,
openml.org/t/9988,wholesale+AC0-customers,AutoGluon,test,0,binary,0.977273,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-30T10:28:07,10.1,8.3,0.01,14,1839869152,,0.977273,0.995402,0.966667,,
openml.org/t/9988,wholesale+AC0-customers,AutoGluon,test,1,binary,0.931818,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-30T10:28:18,10.8,9.1,4,14,1839869153,,0.931818,0.949425,0.916092,,
openml.org/t/9988,wholesale+AC0-customers,AutoGluon,test,2,binary,0.977273,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-30T10:28:28,9.7,8,4,14,1839869154,,0.977273,0.997619,0.964286,,
openml.org/t/9988,wholesale+AC0-customers,AutoGluon,test,3,binary,0.909091,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-30T10:28:38,9.3,7.6,7,14,1839869155,,0.909091,0.929762,0.87619,,
openml.org/t/9988,wholesale+AC0-customers,AutoGluon,test,4,binary,0.886364,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-30T10:28:47,9.7,7.9,4,14,1839869156,,0.886364,0.914286,0.878571,,
openml.org/t/9988,wholesale+AC0-customers,AutoGluon,test,5,binary,0.954545,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-30T10:28:57,9.3,7.6,4,14,1839869157,,0.954545,0.992857,0.947619,,
openml.org/t/9988,wholesale+AC0-customers,AutoGluon,test,6,binary,0.954545,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-30T10:29:06,9.8,8,5,14,1839869158,,0.954545,0.945238,0.947619,,
openml.org/t/9988,wholesale+AC0-customers,AutoGluon,test,7,binary,0.909091,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-30T10:29:16,9.3,7.6,5,14,1839869159,,0.909091,0.97381,0.895238,,
openml.org/t/9988,wholesale+AC0-customers,AutoGluon,test,8,binary,0.818182,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-30T10:29:27,10.8,9,5,14,1839869160,,0.818182,0.840476,0.790476,,
openml.org/t/9988,wholesale+AC0-customers,AutoGluon,test,9,binary,0.886364,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-30T10:29:36,9.4,7.7,6,14,1839869161,,0.886364,0.922619,0.859524,,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,0,multiclass,0.901786,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:02:22,19.4,16.3,0.08,14,1770482051,,0.901786,0.2,0.651658,,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,1,multiclass,0.901786,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:02:39,17,14.5,5,14,1770482052,,0.901786,0.2,0.663775,,
openml.org/t/9919,volcanoes+AC0-e5,AutoGluon,test,2,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:02:57,18.1,15.3,9,14,1770482053,,0.90991,0.411716,0.456054,,
