id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss
openml.org/t/2382,wine,H2OAutoML,test,8,multiclass,0.941176,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-07T19:53:13,1094.9,1088.4,0.03,507,364596905,,0.941176,0.952381,0.180001,
openml.org/t/2382,wine,H2OAutoML,test,9,multiclass,1,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-07T20:12:03,1129.8,1123.2,0.03,736,364596906,,1,1,0.000282643,
openml.org/t/9988,wholesale+AC0-customers,H2OAutoML,test,0,binary,0.977273,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-20T00:09:00,1078.7,1068.2,0.1,129,1362708799,,0.977273,0.997701,0.966667,0.113593
openml.org/t/9988,wholesale+AC0-customers,H2OAutoML,test,1,binary,0.954545,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-20T00:26:59,1078.4,1066.9,0.3,111,1362708800,,0.954545,0.958621,0.933333,0.186941
openml.org/t/9988,wholesale+AC0-customers,H2OAutoML,test,2,binary,0.977273,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-20T00:45:00,1081.6,1069.4,0.3,117,1362708801,,0.977273,0.997619,0.983333,0.0976484
openml.org/t/9988,wholesale+AC0-customers,H2OAutoML,test,3,binary,0.909091,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-20T01:03:03,1082.9,1072.2,0.1,125,1362708802,,0.909091,0.916667,0.857143,0.290168
openml.org/t/9988,wholesale+AC0-customers,H2OAutoML,test,4,binary,0.886364,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-20T01:21:02,1078.6,1067.7,0.3,128,1362708803,,0.886364,0.930952,0.878571,0.361684
openml.org/t/9988,wholesale+AC0-customers,H2OAutoML,test,5,binary,0.954545,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-20T01:39:01,1078.8,1067.7,0.08,120,1362708804,,0.954545,0.997619,0.966667,0.130489
openml.org/t/9988,wholesale+AC0-customers,H2OAutoML,test,6,binary,0.954545,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-20T01:57:00,1078.7,1067.8,0.1,126,1362708805,,0.954545,0.983333,0.947619,0.165959
openml.org/t/9988,wholesale+AC0-customers,H2OAutoML,test,7,binary,0.931818,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-20T02:15:00,1080.5,1067.5,0.08,117,1362708806,,0.931818,0.971429,0.930952,0.191407
openml.org/t/9988,wholesale+AC0-customers,H2OAutoML,test,8,binary,0.863636,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-20T02:33:00,1079.2,1066,0.07,117,1362708807,,0.863636,0.87619,0.842857,0.464423
openml.org/t/9988,wholesale+AC0-customers,H2OAutoML,test,9,binary,0.840909,acc,local,3.44.0.2,,2.1.4,2023+AC0-12+AC0-20T02:50:57,1077.1,1066.4,0.06,118,1362708808,,0.840909,0.933333,0.82619,0.304961
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,0,multiclass,0.901785714285714,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T01:46:06,nan,1083.02855706215,0.049309730529785,80,1891887928,,0.901785714285714,,0.302706270627063,0.471480837018992
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,1,multiclass,0.883928571428571,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T02:04:26,nan,1083.15278935432,0.044219255447388,81,1891887929,,0.883928571428571,,0.196039603960396,0.332451912536579
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,2,multiclass,0.90990990990991,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T02:22:46,nan,1082.68024635315,0.283131122589111,82,1891887930,,0.90990990990991,,0.289191419141914,0.370402461261793
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,3,multiclass,0.918918918918919,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T02:41:08,nan,1083.98136687279,0.041711807250977,81,1891887931,,0.918918918918919,,0.278019801980198,0.388588981124078
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,4,multiclass,0.900900900900901,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T02:59:29,nan,1082.55022192001,0.416719436645508,75,1891887932,,0.900900900900901,,0.296039603960396,0.379297027063853
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,5,multiclass,0.90990990990991,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T03:17:50,nan,1082.86895823479,0.480809211730957,94,1891887933,,0.90990990990991,,0.2,0.728457533929276
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,6,multiclass,0.882882882882883,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T03:36:12,nan,1084.30820989609,0.249638080596924,78,1891887934,,0.882882882882883,,0.232079207920792,0.519778447720684
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,7,multiclass,0.900900900900901,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T03:54:33,nan,1082.85916924477,0.254290342330933,72,1891887935,,0.900900900900901,,0.198019801980198,0.417214157586143
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,8,multiclass,0.891891891891892,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T04:12:54,nan,1083.71367287636,0.265117406845093,72,1891887936,,0.891891891891892,,0.196039603960396,0.402355260487527
openml.org/t/9919,volcanoes+AC0-e5,H2OAutoML,test,9,multiclass,0.900900900900901,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T04:31:14,nan,1082.20458292961,0.048813343048096,71,1891887937,,0.900900900900901,,0.274059405940594,0.375524357658696
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,0,multiclass,0.896825396825397,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T04:49:52,nan,1085.14017415047,0.313725709915161,118,1891887928,,0.896825396825397,,0.196521739130435,0.491358832590417
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,1,multiclass,0.880952380952381,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T05:08:14,nan,1084.12946629524,0.630232810974121,103,1891887929,,0.880952380952381,,0.19304347826087,0.461286274119334
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,2,multiclass,0.912,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T05:26:35,nan,1083.09765696526,0.258062362670898,91,1891887930,,912,,0.295652173913043,0.311823646632802
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,3,multiclass,0.928,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T05:44:54,nan,1082.7755844593,0.050671100616455,100,1891887931,,928,,0.398260869565217,0.287378060078282
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,4,multiclass,0.904,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T06:03:14,nan,1083.32974362373,0.469080686569214,76,1891887932,,904,,0.296491228070175,0.533064358727393
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,5,multiclass,0.896,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T06:21:36,nan,1084.1667330265,0.25942587852478,98,1891887933,,896,,0.196491228070175,0.479677058986062
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,6,multiclass,0.912,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T06:39:55,nan,1083.38449859619,0.254231691360474,104,1891887934,,912,,0.2,0.311847296969357
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,7,multiclass,0.912,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T06:58:14,nan,1082.60434341431,0.256986856460571,82,1891887935,,912,,0.2,0.349205992439494
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,8,multiclass,0.904,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T07:16:36,nan,1082.86342525482,0.2828528881073,84,1891887936,,904,,0.328070175438596,0.283249692899117
openml.org/t/9918,volcanoes+AC0-e4,H2OAutoML,test,9,multiclass,0.896,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T07:34:56,nan,1081.8006067276,0.281925916671753,76,1891887937,,896,,0.196491228070175,0.783433884314691
openml.org/t/9917,volcanoes+AC0-e3,H2OAutoML,test,0,multiclass,0.8984375,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T07:53:20,nan,1081.97122383118,0.249592065811157,79,1891887928,,0.8984375,,0.196581196581197,0.350497751358135
openml.org/t/9917,volcanoes+AC0-e3,H2OAutoML,test,1,multiclass,0.90625,acc,local,3.44.0.2,,2.1.4,2023+AC0-11+AC0-29T08:11:36,nan,1082.08768129349,0.060997009277344,82,1891887929,,0.90625,,0.22991452991453,0.322439653374248
