id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,models_ensemble_count,auc
openml.org/t/9919,volcanoes-e5,AutoGluon,test,0,multiclass,0.901786,acc,local,1.0.0,,2.1.4,2024-08-09T12:03:37,14.4,12.2,0.08,14,558727015,,0.901786,0.2,0.651658,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,1,multiclass,0.901786,acc,local,1.0.0,,2.1.4,2024-08-09T12:03:50,12.6,10.8,0.002,14,558727016,,0.901786,0.2,0.663775,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,2,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-09T12:04:03,12.6,10.7,0.003,14,558727017,,0.90991,0.411716,0.456054,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,3,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-09T12:04:17,14.2,11.9,0.003,14,558727018,,0.90991,0.23802,0.665143,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,4,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-09T12:04:32,14.7,12.8,0.07,14,558727019,,0.90991,0.29802,0.592862,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,5,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-09T12:04:45,13.3,11.6,0.002,14,558727020,,0.90991,0.2,0.645872,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,6,multiclass,0.90991,acc,local,1.0.0,,2.1.4,2024-08-09T12:04:57,11.9,10,0.004,14,558727021,,0.90991,0.23802,0.68487,3,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,7,multiclass,0.900901,acc,local,1.0.0,,2.1.4,2024-08-09T12:05:10,12.5,10.7,0.002,14,558727022,,0.900901,0.19802,0.696672,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,8,multiclass,0.873874,acc,local,1.0.0,,2.1.4,2024-08-09T12:05:23,12.5,10.7,0.002,14,558727023,,0.873874,0.192079,0.646056,2,
openml.org/t/9919,volcanoes-e5,AutoGluon,test,9,multiclass,0.918919,acc,local,1.0.0,,2.1.4,2024-08-09T12:05:36,12.8,11.1,0.002,14,558727024,,0.918919,0.24,0.641238,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,0,multiclass,0.912698,acc,local,1.0.0,,2.1.4,2024-08-09T12:05:49,13.1,11.1,0.2,14,558727015,,0.912698,0.298261,0.84798,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,1,multiclass,0.912698,acc,local,1.0.0,,2.1.4,2024-08-09T12:06:01,12.1,10.3,0.002,14,558727016,,0.912698,0.238261,0.654907,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,2,multiclass,0.92,acc,local,1.0.0,,2.1.4,2024-08-09T12:06:14,12.7,10.9,0.006,14,558727017,,0.92,0.25,0.322665,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,3,multiclass,0.928,acc,local,1.0.0,,2.1.4,2024-08-09T12:06:26,12.2,10.2,0.2,14,558727018,,0.928,0.3,0.517682,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,4,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-09T12:06:39,12.1,10.4,0.006,14,558727019,,0.904,0.198246,0.693863,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,5,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-09T12:06:52,13.1,11.1,0.08,14,558727020,,0.904,0.198246,0.668643,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,6,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-09T12:07:04,12.1,10.2,0.01,14,558727021,,0.904,0.198246,0.599733,3,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,7,multiclass,0.92,acc,local,1.0.0,,2.1.4,2024-08-09T12:07:16,12.2,10.5,0.006,14,558727022,,0.92,0.266667,0.58537,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,8,multiclass,0.896,acc,local,1.0.0,,2.1.4,2024-08-09T12:07:29,12.1,10.3,0.006,14,558727023,,0.896,0.196491,0.57559,2,
openml.org/t/9918,volcanoes-e4,AutoGluon,test,9,multiclass,0.904,acc,local,1.0.0,,2.1.4,2024-08-09T12:07:43,13.7,12,0.003,14,558727024,,0.904,0.296491,0.57665,2,
openml.org/t/3602,visualizing_environmental,AutoGluon,test,0,binary,0.583333,acc,local,1.0.0,,2.1.4,2024-08-09T12:07:51,8.5,6.7,0.007,14,558727015,,0.583333,0.583333,0.676124,3,0.5
openml.org/t/3602,visualizing_environmental,AutoGluon,test,1,binary,0.636364,acc,local,1.0.0,,2.1.4,2024-08-09T12:08:00,8.8,7,0.003,14,558727016,,0.636364,0.633333,0.754532,2,0.566667
openml.org/t/3602,visualizing_environmental,AutoGluon,test,2,binary,1,acc,local,1.0.0,,2.1.4,2024-08-09T12:08:09,8.8,7.1,0.002,14,558727017,,1,1,0.314022,2,1
openml.org/t/3602,visualizing_environmental,AutoGluon,test,3,binary,0.818182,acc,local,1.0.0,,2.1.4,2024-08-09T12:08:18,8.6,6.9,0.002,14,558727018,,0.818182,0.833333,0.518778,2,0.933333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,4,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-09T12:08:27,8.5,6.7,0.006,14,558727019,,0.545455,0.566667,0.797785,2,0.433333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,5,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-09T12:08:36,8.7,6.9,0.002,14,558727020,,0.545455,0.533333,0.759271,2,0.583333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,6,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-09T12:08:44,8.7,6.9,0.006,14,558727021,,0.545455,0.533333,0.580653,2,0.7
openml.org/t/3602,visualizing_environmental,AutoGluon,test,7,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-09T12:08:53,8.7,6.8,0.01,14,558727022,,0.545455,0.55,0.750234,3,0.533333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,8,binary,0.727273,acc,local,1.0.0,,2.1.4,2024-08-09T12:09:03,9.7,8,0.002,14,558727023,,0.727273,0.733333,0.649966,2,0.683333
openml.org/t/3602,visualizing_environmental,AutoGluon,test,9,binary,0.818182,acc,local,1.0.0,,2.1.4,2024-08-09T12:09:12,8.7,6.9,0.005,14,558727024,,0.818182,0.816667,0.688473,2,0.7
openml.org/t/3585,veteran,AutoGluon,test,0,binary,0.642857,acc,local,1.0.0,,2.1.4,2024-08-09T12:09:22,9.5,7.7,0.008,14,558727015,,0.642857,0.45,0.709025,2,0.7
openml.org/t/3585,veteran,AutoGluon,test,1,binary,0.714286,acc,local,1.0.0,,2.1.4,2024-08-09T12:09:31,9.2,7.5,0.006,14,558727016,,0.714286,0.65,0.627412,2,0.6375
openml.org/t/3585,veteran,AutoGluon,test,2,binary,0.714286,acc,local,1.0.0,,2.1.4,2024-08-09T12:09:40,9.3,7.6,0.006,14,558727017,,0.714286,0.575,0.495828,2,0.8
openml.org/t/3585,veteran,AutoGluon,test,3,binary,0.5,acc,local,1.0.0,,2.1.4,2024-08-09T12:09:50,9.1,7.4,0.009,14,558727018,,0.5,0.5,0.669805,2,0.625
openml.org/t/3585,veteran,AutoGluon,test,4,binary,0.642857,acc,local,1.0.0,,2.1.4,2024-08-09T12:09:59,9.1,7.4,0.008,14,558727019,,0.642857,0.5,0.695514,2,0.511111
openml.org/t/3585,veteran,AutoGluon,test,5,binary,0.642857,acc,local,1.0.0,,2.1.4,2024-08-09T12:10:08,9.2,7.4,0.005,14,558727020,,0.642857,0.544444,1.43579,2,0.488889
openml.org/t/3585,veteran,AutoGluon,test,6,binary,0.857143,acc,local,1.0.0,,2.1.4,2024-08-09T12:10:18,8.9,7.2,0.004,14,558727021,,0.857143,0.8,0.676213,2,0.822222
openml.org/t/3585,veteran,AutoGluon,test,7,binary,0.769231,acc,local,1.0.0,,2.1.4,2024-08-09T12:10:27,9.1,7.4,0.005,14,558727022,,0.769231,0.625,0.460729,2,0.805556
