id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss,models+AF8-ensemble+AF8-count
openml.org/t/3818,tae,AutoGluon,test,0,binary,0.5625,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T02:09:15,18,12.4,0.1,14,1697018250,,0.5625,0.541667,0.516667,0.855845,3
openml.org/t/3818,tae,AutoGluon,test,1,binary,0.866667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T02:09:29,14.6,11.5,0.009,14,1697018251,,0.866667,0.74,0.85,0.618135,2
openml.org/t/3818,tae,AutoGluon,test,2,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T02:09:42,12.4,8.7,0.07,14,1697018252,,0.733333,0.88,0.6,0.511433,3
openml.org/t/3818,tae,AutoGluon,test,3,binary,0.8,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T02:09:54,11.5,8.9,0.01,14,1697018253,,0.8,0.72,0.8,0.742782,2
openml.org/t/3818,tae,AutoGluon,test,4,binary,0.666667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T02:10:06,12.2,9.6,0.01,14,1697018254,,0.666667,0.8,0.6,0.443858,2
openml.org/t/3818,tae,AutoGluon,test,5,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T02:10:20,13.3,10.4,0.006,14,1697018255,,0.733333,0.82,0.8,0.643182,2
openml.org/t/3818,tae,AutoGluon,test,6,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T02:10:32,12.5,9.1,0.006,14,1697018256,,0.733333,0.72,0.7,0.732436,2
openml.org/t/3818,tae,AutoGluon,test,7,binary,0.866667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T02:10:44,11.9,8.9,0.006,14,1697018257,,0.866667,0.92,0.85,0.27505,3
openml.org/t/3818,tae,AutoGluon,test,8,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T02:10:56,11.2,8.4,0.005,14,1697018258,,0.733333,0.62,0.6,0.61308,3
openml.org/t/3818,tae,AutoGluon,test,9,binary,0.666667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T02:11:09,13.2,10.4,0.01,14,1697018259,,0.666667,0.722222,0.638889,0.733491,2
