idBase,_acc,tempo_treino,tempo_teste
976,0.905717151454363,0.7901759147644043,0.23907709121704102
976,0.8845381526104418,0.7344717979431152,0.22811198234558105
976,0.8765060240963856,0.741307258605957,0.22653698921203613
976,0.8805220883534136,0.726468563079834,0.24493932723999023
976,0.8875502008032129,0.8954174518585205,0.29302167892456055
976,0.9026104417670683,0.8996963500976562,0.2538485527038574
976,0.8855421686746988,0.7315254211425781,0.3258094787597656
976,0.8945783132530121,0.8187332153320312,0.3856797218322754
976,0.9046184738955824,0.917055606842041,0.24715495109558105
976,0.8855421686746988,0.7639234066009521,0.22799253463745117
