idBase,_acc,tempo_treino,tempo_teste
448,0.6666666666666666,0.0,0.007517337799072266
448,0.8333333333333334,0.003996849060058594,0.0010123252868652344
448,0.8333333333333334,0.004502773284912109,0.0009465217590332031
448,0.5833333333333334,0.0,0.008367061614990234
448,0.75,0.003385305404663086,0.0010802745819091797
448,0.6666666666666666,0.0,0.005614757537841797
448,0.5,0.005568981170654297,0.001996755599975586
448,0.75,0.003983259201049805,0.0020008087158203125
448,0.5833333333333334,0.00241851806640625,0.0022771358489990234
448,0.75,0.0,0.005834102630615234
