idBase,_acc,tempo_treino,tempo_teste
1565,0.7,0.175459623336792,0.010218381881713867
1565,0.6333333333333333,0.2049257755279541,0.010099411010742188
1565,0.6666666666666666,0.19077610969543457,0.02610301971435547
1565,0.5666666666666667,0.22253990173339844,0.013979434967041016
1565,0.7241379310344828,0.1889185905456543,0.0134735107421875
1565,0.5517241379310345,0.16887140274047852,0.009943723678588867
1565,0.6896551724137931,0.15319252014160156,0.009389638900756836
1565,0.6206896551724138,0.14819765090942383,0.008868694305419922
1565,0.7241379310344828,0.1449718475341797,0.008081912994384766
1565,0.6896551724137931,0.1406087875366211,0.010212182998657227
