idBase,_acc,tempo_treino,tempo_teste
1025,0.75,0.005131959915161133,0.003423452377319336
1025,0.825,0.0075376033782958984,0.0
1025,0.85,0.006450653076171875,0.001972675323486328
1025,0.8,0.001077413558959961,0.0027871131896972656
1025,0.75,0.0034818649291992188,0.0
1025,0.85,0.015837430953979492,0.0014777183532714844
1025,0.875,0.0010924339294433594,0.007553815841674805
1025,0.825,0.0010678768157958984,0.0
1025,0.85,0.016287565231323242,0.0024678707122802734
1025,0.8,0.0020914077758789062,0.007019519805908203
