id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,4,multiclass,0.900901,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-04T12:06:46,3630.6,3624.5,0.002,6282,707654861,,0.900901,,0.19802,0.369864
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,5,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-04T12:39:26,1959.5,1953.4,0.002,9654,707654862,,0.90991,,0.2,1.75537
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,6,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-04T13:39:48,3622.5,3616.4,0.003,6129,707654863,,0.90991,,0.2,0.346565
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,7,multiclass,0.90991,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-04T14:30:29,3040.5,3034.4,0.002,9612,707654864,,0.90991,,0.2,0.594973
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,8,multiclass,0.891892,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-04T15:30:41,3611.8,3605.7,0.002,5917,707654865,,0.891892,,0.19604,0.499431
openml.org/t/9919,volcanoes+AC0-e5,TPOT,test,9,multiclass,0.900901,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-04T16:30:57,3616.1,3610.1,0.002,5886,707654866,,0.900901,,0.23604,0.564101
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,0,multiclass,0.912698,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T12:24:38,2387.4,2381.3,0.006,9555,528365137,,0.912698,0.2,0.351632,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,1,multiclass,0.912698,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T13:01:49,2231.1,2225,0.006,9515,528365138,,0.912698,0.2,0.618405,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,2,multiclass,0.912,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T13:37:20,2130.5,2124.3,0.007,9477,528365139,,0.912,0.247826,1.04057,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,3,multiclass,0.912,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T14:12:56,2136.5,2130.4,0.0009,9355,528365140,,0.912,0.198261,0.252321,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,4,multiclass,0.904,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T14:50:45,2268.8,2262.7,0.001,9510,528365141,,0.904,0.198246,1.60819,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,5,multiclass,0.904,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T15:25:59,2113,2106.9,0.001,9563,528365142,,0.904,0.198246,1.60515,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,6,multiclass,0.904,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T16:00:10,2051.5,2045.4,0.007,9640,528365143,,0.904,0.198246,0.569241,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,7,multiclass,0.904,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T16:56:36,3385.5,3379.3,0.003,9668,528365144,,0.904,0.198246,0.480537,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,8,multiclass,0.92,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T17:31:39,2103.5,2097.3,0.001,9518,528365145,,0.92,0.233333,1.04199,
openml.org/t/9918,volcanoes+AC0-e4,TPOT,test,9,multiclass,0.896,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T18:08:12,2192.3,2186.1,0.006,9514,528365146,,0.896,0.196491,1.08971,
openml.org/t/9917,volcanoes+AC0-e3,TPOT,test,0,multiclass,0.929688,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T18:26:20,1081.4,1075.2,0.004,9820,528365137,,0.929688,0.333333,0.547347,
openml.org/t/9917,volcanoes+AC0-e3,TPOT,test,1,multiclass,0.90625,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T19:01:54,2134.4,2128.3,0.007,9441,528365138,,0.90625,0.198291,0.285028,
openml.org/t/9917,volcanoes+AC0-e3,TPOT,test,2,multiclass,0.914062,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T19:37:58,2163.7,2157.6,0.007,9527,528365139,,0.914062,0.2,0.563664,
openml.org/t/9917,volcanoes+AC0-e3,TPOT,test,3,multiclass,0.921875,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T20:02:50,1491.9,1485.7,0.002,9695,528365140,,0.921875,0.3,0.520263,
openml.org/t/9917,volcanoes+AC0-e3,TPOT,test,4,multiclass,0.914062,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T21:03:14,3624,3618.1,0.003,5321,528365141,,0.914062,0.2,0.309822,
openml.org/t/9917,volcanoes+AC0-e3,TPOT,test,5,multiclass,0.898438,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T21:46:47,2612.7,2606.6,0.007,9680,528365142,,0.898438,0.261538,0.528517,
openml.org/t/9917,volcanoes+AC0-e3,TPOT,test,6,multiclass,0.914062,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T22:46:59,3611.8,3605.7,0.02,8971,528365143,,0.914062,0.2,2.34026,
openml.org/t/9917,volcanoes+AC0-e3,TPOT,test,7,multiclass,0.929134,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-05T23:47:37,3638.2,3632.1,0.005,6066,528365144,,0.929134,0.333333,0.308009,
openml.org/t/9917,volcanoes+AC0-e3,TPOT,test,8,multiclass,0.913386,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-06T00:20:06,1948.2,1942,0.007,9639,528365145,,0.913386,0.198291,0.543308,
openml.org/t/9917,volcanoes+AC0-e3,TPOT,test,9,multiclass,0.905512,acc,local,0.12.1,,2.1.4,2024+AC0-05+AC0-06T00:50:20,1814.7,1808.6,0.003,9585,528365146,,0.905512,0.196581,1.03999,
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,0,binary,0.666667,acc,local,0.12.1,,2.1.4,2024+AC0-04+AC0-27T20:10:36,3597.5,3590.2,0.0003,9830,614877853,,0.666667,0.513889,0.666667,0.626542
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,1,binary,0.636364,acc,local,0.12.1,,2.1.4,2024+AC0-04+AC0-27T20:19:33,536.9,530.8,0.0006,9684,614877854,,0.636364,0.65,0.65,0.699601
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,2,binary,0.727273,acc,local,0.12.1,,2.1.4,2024+AC0-04+AC0-27T20:28:54,561.4,555.3,0.002,9719,614877855,,0.727273,0.633333,0.716667,0.653607
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,3,binary,0.818182,acc,local,0.12.1,,2.1.4,2024+AC0-04+AC0-27T21:15:18,2783.9,2777.8,0.008,9759,614877856,,0.818182,0.866667,0.833333,0.411994
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,4,binary,0.545455,acc,local,0.12.1,,2.1.4,2024+AC0-04+AC0-27T22:04:28,2950,2943.9,0.0003,9812,614877857,,0.545455,0.8,0.566667,3.91167
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,5,binary,0.636364,acc,local,0.12.1,,2.1.4,2024+AC0-04+AC0-27T22:16:28,719.5,713.4,0.0005,9692,614877858,,0.636364,0.6,0.666667,0.635881
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,6,binary,0.545455,acc,local,0.12.1,,2.1.4,2024+AC0-04+AC0-27T22:32:24,955.5,949.4,0.01,9666,614877859,,0.545455,0.633333,0.516667,1.8457
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,7,binary,0.454545,acc,local,0.12.1,,2.1.4,2024+AC0-04+AC0-27T22:51:50,1165.8,1159.7,0.01,9657,614877860,,0.454545,0.466667,0.466667,1.10416
openml.org/t/3602,visualizing+AF8-environmental,TPOT,test,8,binary,0.636364,acc,local,0.12.1,,2.1.4,2024+AC0-04+AC0-27T23:13:31,1301.4,1295.3,0.006,9818,614877861,,0.636364,0.766667,0.616667,0.650823
