id+AF8-dataset,total time
+AFs-965+AF0-,0.015630483627319
+AFs-181+AF0-,0.015621662139893
+AFs-753+AF0-,0
+AFs-187+AF0-,0.015652656555176
+AFs-847+AF0-,0
+AFs-1511+AF0-,0.015600919723511
+AFs-979+AF0-,0.008500099182129
+AFs-1526+AF0-,0.005067110061646
+AFs-1509+AF0-,0.015314102172852
+AFs-1016+AF0-,0.005032539367676
+AFs-1546+AF0-,0
+AFs-1545+AF0-,0
+AFs-1544+AF0-,0.015664577484131
+AFs-1543+AF0-,0
+AFs-1542+AF0-,0
+AFs-1541+AF0-,0.015610456466675
+AFs-1540+AF0-,0
+AFs-1539+AF0-,0.015690565109253
+AFs-1538+AF0-,0
+AFs-1537+AF0-,0
+AFs-1536+AF0-,0.015586376190186
+AFs-1535+AF0-,0.005516529083252
+AFs-1534+AF0-,0
+AFs-1533+AF0-,0.015683174133301
+AFs-1532+AF0-,0
+AFs-1531+AF0-,0
+AFs-1530+AF0-,0.015581607818604
+AFs-1529+AF0-,0
+AFs-1528+AF0-,0.015666484832764
+AFs-1527+AF0-,0
+AFs-923+AF0-,0.01562237739563
+AFs-736+AF0-,0
+AFs-719+AF0-,0
+AFs-994+AF0-,0.015625
+AFs-1508+AF0-,0
+AFs-1507+AF0-,0.015640497207642
+AFs-788+AF0-,0.006069660186768
+AFs-885+AF0-,0
+AFs-1506+AF0-,0.015733003616333
+AFs-1115+AF0-,0
+AFs-955+AF0-,0.015603303909302
+AFs-1004+AF0-,0.015599966049194
+AFs-770+AF0-,0
+AFs-841+AF0-,0
+AFs-1503+AF0-,0.052943706512451
+AFs-953+AF0-,0.031310081481934
+AFs-737+AF0-,0
+AFs-902+AF0-,0
+AFs-1502+AF0-,0.015618801116943
+AFs-826+AF0-,0.015644073486328
+AFs-958+AF0-,0
+AFs-1498+AF0-,0.015590667724609
+AFs-1520+AF0-,0.015642166137695
+AFs-717+AF0-,0.006553173065186
+AFs-1496+AF0-,0
+AFs-816+AF0-,0
+AFs-752+AF0-,0.015685319900513
+AFs-996+AF0-,0
+AFs-722+AF0-,0.015647172927857
+AFs-155+AF0-,0.062490224838257
+AFs-1567+AF0-,0.105983018875122
+AFs-354+AF0-,0.116079330444336
+AFs-750+AF0-,0
+AFs-1490+AF0-,0
+AFs-1019+AF0-,0
+AFs-1069+AF0-,0.015607595443726
+AFs-1167+AF0-,0
+AFs-1488+AF0-,0
+AFs-1021+AF0-,0.015628099441528
+AFs-980+AF0-,0.015664339065552
+AFs-959+AF0-,0
+AFs-886+AF0-,0.015539884567261
+AFs-784+AF0-,0.006511926651001
+AFs-881+AF0-,0
+AFs-880+AF0-,0.01567554473877
+AFs-164+AF0-,0.015653133392334
+AFs-995+AF0-,0
+AFs-962+AF0-,0.01560378074646
+AFs-1020+AF0-,0.015682697296143
+AFs-971+AF0-,0
+AFs-1056+AF0-,0.015527009963989
+AFs-733+AF0-,0.015658855438233
+AFs-10+AF0-,0.006508827209473
+AFs-941+AF0-,0
+AFs-977+AF0-,0.015677690505982
+AFs-1483+AF0-,0.015606880187988
+AFs-184+AF0-,0
+AFs-1481+AF0-,0.015605688095093
+AFs-807+AF0-,0
+AFs-1045+AF0-,0.015665531158447
+AFs-1066+AF0-,0.0156409740448
+AFs-1048+AF0-,0
+AFs-1073+AF0-,0.01556658744812
+AFs-969+AF0-,0.006580829620361
+AFs-823+AF0-,0.009411096572876
+AFs-843+AF0-,0.005053758621216
+AFs-821+AF0-,0.005181312561035
+AFs-1513+AF0-,0.010492086410523
+AFs-53+AF0-,0.005059719085693
+AFs-1565+AF0-,0
+AFs-1026+AF0-,0.015648126602173
+AFs-1005+AF0-,0
