idBase,_acc,tempo_treino,tempo_teste
881,0.9975472160902624,0.14472556114196777,0.0
881,0.9965661025263675,0.13907504081726074,0.008097171783447266
881,0.9965661025263675,0.15880942344665527,0.0
881,0.99803777287221,0.15307140350341797,0.0
881,0.9968113809173412,0.16196560859680176,0.0
881,0.9963208241353937,0.16321969032287598,0.0
881,0.9977924944812362,0.15262484550476074,0.0
881,0.9970566593083149,0.14243030548095703,0.0
881,0.9955839057899902,0.14429402351379395,0.0
881,0.9965652600588812,0.15271830558776855,0.0
