idBase,_acc,tempo_treino,tempo_teste
935,0.84,0.1440112590789795,0.00877833366394043
935,0.6,0.14508414268493652,0.008851051330566406
935,0.92,0.14441394805908203,0.008786678314208984
935,0.92,0.15784144401550293,0.008770227432250977
935,0.92,0.16556453704833984,0.00894021987915039
935,0.84,0.15296578407287598,0.010304450988769531
935,0.84,0.15464043617248535,0.010198116302490234
935,0.88,0.16416645050048828,0.008176803588867188
935,1.0,0.14350509643554688,0.002023458480834961
935,0.96,0.17434477806091309,0.0021467208862304688
