id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,models+AF8-ensemble+AF8-count
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,0,multiclass,0.93424,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-22T22:28:17,2397.7,2393.5,0.1,14,699641286,,0.93424,0.884873,0.173367,2
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,1,multiclass,0.93293,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-22T23:05:08,2210.7,2195.6,3.8,14,699641287,,0.93293,0.878561,0.178449,6
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,2,multiclass,0.93355,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-22T23:46:34,2486.3,2476.2,4.5,14,699641288,,0.93355,0.888599,0.170474,4
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,3,multiclass,0.93289,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-23T00:28:41,2525.7,2514.1,5.9,14,699641289,,0.93289,0.885374,0.176246,6
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,4,multiclass,0.93268,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-23T00:57:57,1756.4,1745.8,4.6,14,699641290,,0.93268,0.881783,0.176457,5
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,5,multiclass,0.93192,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-23T01:28:30,1832.4,1815.9,9.1,14,699641291,,0.93192,0.880739,0.17837,8
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,6,multiclass,0.93307,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-23T02:15:39,2829.1,2817.6,3.5,14,699641292,,0.93307,0.884418,0.177716,6
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,7,multiclass,0.93208,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-23T02:58:28,2568.6,2546.2,12.2,14,699641293,,0.93208,0.880716,0.188217,8
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,8,multiclass,0.93403,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-23T03:35:07,2198.3,2191.8,1.4,14,699641294,,0.93403,0.883237,0.173689,4
openml.org/t/2140,BNG+AF8-lymph+AF8-,AutoGluon,test,9,multiclass,0.93336,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-23T04:09:24,2056.3,2041.3,9.1,14,699641295,,0.93336,0.882706,0.184383,7
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,0,multiclass,0.92947,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-23T21:00:56,3647.6,3606,15.1,6,1823663776,,0.92947,0.893634,1.07187,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,1,multiclass,0.9321,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-23T22:02:33,3696.8,3603.6,41,16,1823663777,,0.9321,0.877869,0.193509,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,2,multiclass,0.93104,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-23T23:03:34,3659.7,3603.9,22,8,1823663778,,0.93104,0.89534,1.2608,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,3,multiclass,,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-24T01:09:35,7560,,,,1823663779,TimeoutError: Interrupting thread MainThread +AFs-ident+AD0-140349309334144+AF0- after 7500s timeout.,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,4,multiclass,,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-24T03:15:35,7560,,,,1823663780,TimeoutError: Interrupting thread MainThread +AFs-ident+AD0-140349309334144+AF0- after 7500s timeout.,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,5,multiclass,0.93131,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-24T04:17:52,3736.6,3603.8,61,11,1823663781,,0.93131,0.887123,0.872356,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,6,multiclass,,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-24T06:23:53,7560,,,,1823663782,TimeoutError: Interrupting thread MainThread +AFs-ident+AD0-140349309334144+AF0- after 7500s timeout.,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,7,multiclass,,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-24T08:29:53,7560,,,,1823663783,TimeoutError: Interrupting thread MainThread +AFs-ident+AD0-140349309334144+AF0- after 7500s timeout.,,,,
openml.org/t/2140,BNG+AF8-lymph+AF8-,autosklearn,test,8,multiclass,0.93119,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-24T09:31:00,3666.9,3603.3,25.4,11,1823663784,,0.93119,0.894468,0.186099,
