idBase,_acc,tempo_treino,tempo_teste
23499,0.75,0.003995656967163086,0.0009992122650146484
23499,0.7857142857142857,0.003996849060058594,0.0009667873382568359
23499,0.6785714285714286,0.004336357116699219,0.00044536590576171875
23499,0.7857142857142857,0.0039997100830078125,0.00044536590576171875
23499,0.5714285714285714,0.004856586456298828,0.0019996166229248047
23499,0.6071428571428571,0.004884481430053711,0.0019817352294921875
23499,0.7857142857142857,0.005021095275878906,0.0019948482513427734
23499,0.6666666666666666,0.0038983821868896484,0.000997781753540039
23499,0.7037037037037037,0.004198789596557617,0.0009992122650146484
23499,0.8888888888888888,0.003000020980834961,0.001712799072265625
