id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,auc,balacc,logloss,models+AF8-ensemble+AF8-count
openml.org/t/3818,tae,AutoGluon,test,0,binary,0.5625,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T01:00:13,17,12.4,0.1,14,873164052,,0.5625,0.541667,0.516667,0.855845,3
openml.org/t/3818,tae,AutoGluon,test,1,binary,0.866667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T01:00:27,13,10.2,0.008,14,873164053,,0.866667,0.74,0.85,0.618135,2
openml.org/t/3818,tae,AutoGluon,test,2,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T01:00:42,15.5,12.1,0.07,14,873164054,,0.733333,0.88,0.6,0.511433,3
openml.org/t/3818,tae,AutoGluon,test,3,binary,0.8,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T01:00:57,14.5,11,0.01,14,873164055,,0.8,0.72,0.8,0.742782,2
openml.org/t/3818,tae,AutoGluon,test,4,binary,0.666667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T01:01:09,11.6,9,0.01,14,873164056,,0.666667,0.8,0.6,0.443858,2
openml.org/t/3818,tae,AutoGluon,test,5,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T01:01:20,11,8.5,0.007,14,873164057,,0.733333,0.82,0.8,0.643182,2
openml.org/t/3818,tae,AutoGluon,test,6,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T01:01:31,11.2,8.7,0.006,14,873164058,,0.733333,0.72,0.7,0.732436,2
openml.org/t/3818,tae,AutoGluon,test,7,binary,0.866667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T01:01:43,11.3,8.6,0.006,14,873164059,,0.866667,0.92,0.85,0.27505,3
openml.org/t/3818,tae,AutoGluon,test,8,binary,0.733333,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T01:01:56,12.9,10,0.01,14,873164060,,0.733333,0.62,0.6,0.61308,3
openml.org/t/3818,tae,AutoGluon,test,9,binary,0.666667,acc,local,1.0.0,,2.1.4,2024+AC0-01+AC0-27T01:02:17,21.2,16.9,0.01,14,873164061,,0.666667,0.722222,0.638889,0.733491,2
openml.org/t/3818,tae,autosklearn,test,0,binary,0.5,acc,local,0.15.0,,2.1.4,2024+AC0-01+AC0-27T00:22:45,382.4,370.5,0.06,3,1270681841,,0.5,0.483333,0.433333,1.31343,
